File to parse: ../Downloads/characters.901225-01.bin
00ce 00206 024 18 ...**...
00cf 00207 000 00 ........

00d0 00208 126 7e .******.
00d1 00209 006 06 .....**.
00d2 00210 012 0c ....**..
00d3 00211 024 18 ...**...
00d4 00212 048 30 ..**....
00d5 00213 096 60 .**.....
00d6 00214 126 7e .******.
00d7 00215 000 00 ........

00d8 00216 060 3c ..****..
00d9 00217 048 30 ..**....
00da 00218 048 30 ..**....
00db 00219 048 30 ..**....
00dc 00220 048 30 ..**....
00dd 00221 048 30 ..**....
00de 00222 060 3c ..****..
00df 00223 000 00 ........

00e0 00224 012 0c ....**..
00e1 00225 018 12 ...*..*.
00e2 00226 048 30 ..**....
00e3 00227 124 7c .*****..
00e4 00228 048 30 ..**....
00e5 00229 098 62 .**...*.
00e6 00230 252 fc ******..
00e7 00231 000 00 ........

00e8 00232 060 3c ..****..
00e9 00233 012 0c ....**..
00ea 00234 012 0c ....**..
00eb 00235 012 0c ....**..
00ec 00236 012 0c ....**..
00ed 00237 012 0c ....**..
00ee 00238 060 3c ..****..
00ef 00239 000 00 ........

00f0 00240 000 00 ........
00f1 00241 024 18 ...**...
00f2 00242 060 3c ..****..
00f3 00243 126 7e .******.
00f4 00244 024 18 ...**...
00f5 00245 024 18 ...**...
00f6 00246 024 18 ...**...
00f7 00247 024 18 ...**...

00f8 00248 000 00 ........
00f9 00249 016 10 ...*....
00fa 00250 048 30 ..**....
00fb 00251 127 7f .*******
00fc 00252 127 7f .*******
00fd 00253 048 30 ..**....
00fe 00254 016 10 ...*....
00ff 00255 000 00 ........

0100 00256 000 00 ........
0101 00257 000 00 ........
0102 00258 000 00 ........
0103 00259 000 00 ........
0104 00260 000 00 ........
0105 00261 000 00 ........
0106 00262 000 00 ........
0107 00263 000 00 ........

0108 00264 024 18 ...**...
0109 00265 024 18 ...**...
010a 00266 024 18 ...**...
010b 00267 024 18 ...**...
010c 00268 000 00 ........
010d 00269 000 00 ........
010e 00270 024 18 ...**...
010f 00271 000 00 ........

0110 00272 102 66 .**..**.
0111 00273 102 66 .**..**.
0112 00274 102 66 .**..**.
0113 00275 000 00 ........
0114 00276 000 00 ........
0115 00277 000 00 ........
0116 00278 000 00 ........
0117 00279 000 00 ........

0118 00280 102 66 .**..**.
0119 00281 102 66 .**..**.
011a 00282 255 ff ********
011b 00283 102 66 .**..**.
011c 00284 255 ff ********
011d 00285 102 66 .**..**.
011e 00286 102 66 .**..**.
011f 00287 000 00 ........

0120 00288 024 18 ...**...
0121 00289 062 3e ..*****.
0122 00290 096 60 .**.....
0123 00291 060 3c ..****..
0124 00292 006 06 .....**.
0125 00293 124 7c .*****..
0126 00294 024 18 ...**...
0127 00295 000 00 ........

0128 00296 098 62 .**...*.
0129 00297 102 66 .**..**.
012a 00298 012 0c ....**..
012b 00299 024 18 ...**...
012c 00300 048 30 ..**....
012d 00301 102 66 .**..**.
012e 00302 070 46 .*...**.
012f 00303 000 00 ........

0130 00304 060 3c ..****..
0131 00305 102 66 .**..**.
0132 00306 060 3c ..****..
0133 00307 056 38 ..***...
0134 00308 103 67 .**..***
0135 00309 102 66 .**..**.
0136 00310 063 3f ..******
0137 00311 000 00 ........

0138 00312 006 06 .....**.
0139 00313 012 0c ....**..
013a 00314 024 18 ...**...
013b 00315 000 00 ........
013c 00316 000 00 ........
013d 00317 000 00 ........
013e 00318 000 00 ........
013f 00319 000 00 ........

0140 00320 012 0c ....**..
0141 00321 024 18 ...**...
0142 00322 048 30 ..**....
0143 00323 048 30 ..**....
0144 00324 048 30 ..**....
0145 00325 024 18 ...**...
0146 00326 012 0c ....**..
0147 00327 000 00 ........

0148 00328 048 30 ..**....
0149 00329 024 18 ...**...
014a 00330 012 0c ....**..
014b 00331 012 0c ....**..
014c 00332 012 0c ....**..
014d 00333 024 18 ...**...
014e 00334 048 30 ..**....
014f 00335 000 00 ........

0150 00336 000 00 ........
0151 00337 102 66 .**..**.
0152 00338 060 3c ..****..
0153 00339 255 ff ********
0154 00340 060 3c ..****..
0155 00341 102 66 .**..**.
0156 00342 000 00 ........
0157 00343 000 00 ........

0158 00344 000 00 ........
0159 00345 024 18 ...**...
015a 00346 024 18 ...**...
015b 00347 126 7e .******.
015c 00348 024 18 ...**...
015d 00349 024 18 ...**...
015e 00350 000 00 ........
015f 00351 000 00 ........

0160 00352 000 00 ........
0161 00353 000 00 ........
0162 00354 000 00 ........
0163 00355 000 00 ........
0164 00356 000 00 ........
0165 00357 024 18 ...**...
0166 00358 024 18 ...**...
0167 00359 048 30 ..**....

0168 00360 000 00 ........
0169 00361 000 00 ........
016a 00362 000 00 ........
016b 00363 126 7e .******.
016c 00364 000 00 ........
016d 00365 000 00 ........
016e 00366 000 00 ........
016f 00367 000 00 ........

0170 00368 000 00 ........
0171 00369 000 00 ........
0172 00370 000 00 ........
0173 00371 000 00 ........
0174 00372 000 00 ........
0175 00373 024 18 ...**...
0176 00374 024 18 ...**...
0177 00375 000 00 ........

0178 00376 000 00 ........
0179 00377 003 03 ......**
017a 00378 006 06 .....**.
